":START_ID",":TYPE",":END_ID","_json","childRelationToParent:string[]","http__//purl.obolibrary.org/obo/IAO_0000116:string[]","http__//purl.obolibrary.org/obo/IAO_0010000:string[]","http__//www.w3.org/2000/01/rdf-schema#comment:string[]","http__//www.w3.org/2000/01/rdf-schema#seeAlso:string[]","parentRelationToChild:string[]"
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","directParent","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000001","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000015","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000010","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000096","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000115","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000117","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000119","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000600","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+property+http://purl.obolibrary.org/obo/OBI_0000299","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","linksTo","duo+property+http://www.w3.org/2000/01/rdf-schema#label","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","directParent","duo+class+http://purl.obolibrary.org/obo/IAO_0000109","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/IAO_0000109","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/IAO_0000109","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000001","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000031","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000027","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000030","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000109","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000115","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000117","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000600","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+property+http://purl.obolibrary.org/obo/OBI_0000312","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","linksTo","duo+property+http://www.w3.org/2000/01/rdf-schema#label","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","directParent","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000001","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000015","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000115","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000117","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000119","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000600","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+property+http://purl.obolibrary.org/obo/OBI_0000299","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","linksTo","duo+property+http://www.w3.org/2000/01/rdf-schema#label","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","directParent","duo+class+http://purl.obolibrary.org/obo/IAO_0000310","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/IAO_0000310","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/IAO_0000310","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000001","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+class+http://purl.obolibrary.org/obo/BFO_0000031","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+property+http://purl.obolibrary.org/obo/BFO_0000051","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000027","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000030","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000096","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000111","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000115","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000117","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+property+http://purl.obolibrary.org/obo/IAO_0000136","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000310","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+property+http://www.w3.org/2000/01/rdf-schema#comment","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","linksTo","duo+property+http://www.w3.org/2000/01/rdf-schema#label","{}","","","","","",""
