"id:ID",":LABEL","isDefiningOntology:string[]","isRoot:string[]","hasChildren:string[]","_json","isObsolete:string[]","label:string[]","type:string[]","uri","directParent:string[]","http__//www.w3.org/2000/01/rdf-schema#subClassOf:string[]","http__//www.w3.org/2002/07/owl#disjointWith:string[]","imported:string[]","shortForm:string[]","http__//www.w3.org/2000/01/rdf-schema#label:string[]","ontologyId:string[]","hierarchicalParent:string[]","http__//www.w3.org/2002/07/owl#equivalentClass:string[]","http__//www.w3.org/1999/02/22-rdf-syntax-ns#type:string[]"
"efo+class+http://purl.obolibrary.org/obo/UBERON_0000467","OntologyEntity|OntologyClass","false","true","true","{""hasChildren"":""true"",""hierarchicalParent"":{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0000468"",""isObsolete"":""false"",""propertyLabels"":{}},""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2000/01/rdf-schema#label"":""anatomical system"",""http://www.w3.org/2000/01/rdf-schema#subClassOf"":{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0000468"",""isObsolete"":""false"",""propertyLabels"":{}},""imported"":""false"",""isDefiningOntology"":""false"",""isObsolete"":""false"",""isRoot"":""true"",""label"":""anatomical system"",""ontologyId"":""efo"",""propertyLabels"":{},""shortForm"":""UBERON_0000467"",""type"":[""class"",""entity""],""uri"":""http://purl.obolibrary.org/obo/UBERON_0000467""}","false","anatomical system","class|entity","http://purl.obolibrary.org/obo/UBERON_0000467","","http://purl.obolibrary.org/obo/UBERON_0000468","","false","UBERON_0000467","anatomical system","efo","http://purl.obolibrary.org/obo/UBERON_0000468","","http://www.w3.org/2002/07/owl#Class"
"efo+class+http://purl.obolibrary.org/obo/UBERON_0000468","OntologyEntity|OntologyClass","false","true","false","{""hasChildren"":""false"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2000/01/rdf-schema#label"":""multicellular organism"",""imported"":""false"",""isDefiningOntology"":""false"",""isObsolete"":""false"",""isRoot"":""true"",""label"":""multicellular organism"",""ontologyId"":""efo"",""propertyLabels"":{},""shortForm"":""UBERON_0000468"",""type"":[""class"",""entity""],""uri"":""http://purl.obolibrary.org/obo/UBERON_0000468""}","false","multicellular organism","class|entity","http://purl.obolibrary.org/obo/UBERON_0000468","","","","false","UBERON_0000468","multicellular organism","efo","","","http://www.w3.org/2002/07/owl#Class"
"efo+class+http://purl.obolibrary.org/obo/UBERON_0000483","OntologyEntity|OntologyClass","false","true","true","{""hasChildren"":""true"",""hierarchicalParent"":{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0000468"",""isObsolete"":""false"",""propertyLabels"":{}},""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2000/01/rdf-schema#label"":""epithelium"",""http://www.w3.org/2000/01/rdf-schema#subClassOf"":{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0000468"",""isObsolete"":""false"",""propertyLabels"":{}},""imported"":""false"",""isDefiningOntology"":""false"",""isObsolete"":""false"",""isRoot"":""true"",""label"":""epithelium"",""ontologyId"":""efo"",""propertyLabels"":{},""shortForm"":""UBERON_0000483"",""type"":[""class"",""entity""],""uri"":""http://purl.obolibrary.org/obo/UBERON_0000483""}","false","epithelium","class|entity","http://purl.obolibrary.org/obo/UBERON_0000483","","http://purl.obolibrary.org/obo/UBERON_0000468","","false","UBERON_0000483","epithelium","efo","http://purl.obolibrary.org/obo/UBERON_0000468","","http://www.w3.org/2002/07/owl#Class"
"efo+class+http://purl.obolibrary.org/obo/UBERON_0000916","OntologyEntity|OntologyClass","false","true","false","{""hasChildren"":""false"",""hierarchicalParent"":[{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0000468"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0002100"",""isObsolete"":""false"",""propertyLabels"":{}}],""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2000/01/rdf-schema#label"":""abdomen"",""http://www.w3.org/2000/01/rdf-schema#subClassOf"":[{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0000468"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0002100"",""isObsolete"":""false"",""propertyLabels"":{}}],""imported"":""false"",""isDefiningOntology"":""false"",""isObsolete"":""false"",""isRoot"":""true"",""label"":""abdomen"",""ontologyId"":""efo"",""propertyLabels"":{},""shortForm"":""UBERON_0000916"",""type"":[""class"",""entity""],""uri"":""http://purl.obolibrary.org/obo/UBERON_0000916""}","false","abdomen","class|entity","http://purl.obolibrary.org/obo/UBERON_0000916","","http://purl.obolibrary.org/obo/UBERON_0000468|http://purl.obolibrary.org/obo/UBERON_0002100","","false","UBERON_0000916","abdomen","efo","http://purl.obolibrary.org/obo/UBERON_0000468|http://purl.obolibrary.org/obo/UBERON_0002100","","http://www.w3.org/2002/07/owl#Class"
"efo+class+http://purl.obolibrary.org/obo/UBERON_0000949","OntologyEntity|OntologyClass","false","false","false","{""directParent"":""http://purl.obolibrary.org/obo/UBERON_0000467"",""hasChildren"":""false"",""hierarchicalParent"":""http://purl.obolibrary.org/obo/UBERON_0000467"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2000/01/rdf-schema#label"":""endocrine system"",""http://www.w3.org/2000/01/rdf-schema#subClassOf"":""http://purl.obolibrary.org/obo/UBERON_0000467"",""http://www.w3.org/2002/07/owl#disjointWith"":[""http://purl.obolibrary.org/obo/UBERON_0001007"",""http://purl.obolibrary.org/obo/UBERON_0001009"",""http://purl.obolibrary.org/obo/UBERON_0002423""],""imported"":""false"",""isDefiningOntology"":""false"",""isObsolete"":""false"",""isRoot"":""false"",""label"":""endocrine system"",""ontologyId"":""efo"",""propertyLabels"":{},""shortForm"":""UBERON_0000949"",""type"":[""class"",""entity""],""uri"":""http://purl.obolibrary.org/obo/UBERON_0000949""}","false","endocrine system","class|entity","http://purl.obolibrary.org/obo/UBERON_0000949","http://purl.obolibrary.org/obo/UBERON_0000467","http://purl.obolibrary.org/obo/UBERON_0000467","http://purl.obolibrary.org/obo/UBERON_0001007|http://purl.obolibrary.org/obo/UBERON_0001009|http://purl.obolibrary.org/obo/UBERON_0002423","false","UBERON_0000949","endocrine system","efo","http://purl.obolibrary.org/obo/UBERON_0000467","","http://www.w3.org/2002/07/owl#Class"
"efo+class+http://purl.obolibrary.org/obo/UBERON_0001007","OntologyEntity|OntologyClass","false","false","false","{""directParent"":""http://purl.obolibrary.org/obo/UBERON_0000467"",""hasChildren"":""false"",""hierarchicalParent"":""http://purl.obolibrary.org/obo/UBERON_0000467"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2000/01/rdf-schema#label"":""digestive system"",""http://www.w3.org/2000/01/rdf-schema#subClassOf"":""http://purl.obolibrary.org/obo/UBERON_0000467"",""http://www.w3.org/2002/07/owl#disjointWith"":[""http://purl.obolibrary.org/obo/UBERON_0001009"",""http://purl.obolibrary.org/obo/UBERON_0002423""],""imported"":""false"",""isDefiningOntology"":""false"",""isObsolete"":""false"",""isRoot"":""false"",""label"":""digestive system"",""ontologyId"":""efo"",""propertyLabels"":{},""shortForm"":""UBERON_0001007"",""type"":[""class"",""entity""],""uri"":""http://purl.obolibrary.org/obo/UBERON_0001007""}","false","digestive system","class|entity","http://purl.obolibrary.org/obo/UBERON_0001007","http://purl.obolibrary.org/obo/UBERON_0000467","http://purl.obolibrary.org/obo/UBERON_0000467","http://purl.obolibrary.org/obo/UBERON_0001009|http://purl.obolibrary.org/obo/UBERON_0002423","false","UBERON_0001007","digestive system","efo","http://purl.obolibrary.org/obo/UBERON_0000467","","http://www.w3.org/2002/07/owl#Class"
"efo+class+http://purl.obolibrary.org/obo/UBERON_0001009","OntologyEntity|OntologyClass","false","false","false","{""directParent"":""http://purl.obolibrary.org/obo/UBERON_0000467"",""hasChildren"":""false"",""hierarchicalParent"":""http://purl.obolibrary.org/obo/UBERON_0000467"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2000/01/rdf-schema#label"":""circulatory system"",""http://www.w3.org/2000/01/rdf-schema#subClassOf"":""http://purl.obolibrary.org/obo/UBERON_0000467"",""http://www.w3.org/2002/07/owl#disjointWith"":""http://purl.obolibrary.org/obo/UBERON_0002423"",""imported"":""false"",""isDefiningOntology"":""false"",""isObsolete"":""false"",""isRoot"":""false"",""label"":""circulatory system"",""ontologyId"":""efo"",""propertyLabels"":{},""shortForm"":""UBERON_0001009"",""type"":[""class"",""entity""],""uri"":""http://purl.obolibrary.org/obo/UBERON_0001009""}","false","circulatory system","class|entity","http://purl.obolibrary.org/obo/UBERON_0001009","http://purl.obolibrary.org/obo/UBERON_0000467","http://purl.obolibrary.org/obo/UBERON_0000467","http://purl.obolibrary.org/obo/UBERON_0002423","false","UBERON_0001009","circulatory system","efo","http://purl.obolibrary.org/obo/UBERON_0000467","","http://www.w3.org/2002/07/owl#Class"
"efo+class+http://purl.obolibrary.org/obo/UBERON_0001193","OntologyEntity|OntologyClass","false","false","false","{""directParent"":""http://purl.obolibrary.org/obo/UBERON_0001637"",""hasChildren"":""false"",""hierarchicalParent"":[""http://purl.obolibrary.org/obo/UBERON_0001637"",{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0002107"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0004647"",""isObsolete"":""false"",""propertyLabels"":{}}],""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2000/01/rdf-schema#label"":""hepatic artery"",""http://www.w3.org/2000/01/rdf-schema#subClassOf"":[""http://purl.obolibrary.org/obo/UBERON_0001637"",{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0002107"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0004647"",""isObsolete"":""false"",""propertyLabels"":{}}],""imported"":""false"",""isDefiningOntology"":""false"",""isObsolete"":""false"",""isRoot"":""false"",""label"":""hepatic artery"",""ontologyId"":""efo"",""propertyLabels"":{},""shortForm"":""UBERON_0001193"",""type"":[""class"",""entity""],""uri"":""http://purl.obolibrary.org/obo/UBERON_0001193""}","false","hepatic artery","class|entity","http://purl.obolibrary.org/obo/UBERON_0001193","http://purl.obolibrary.org/obo/UBERON_0001637","http://purl.obolibrary.org/obo/UBERON_0001637|http://purl.obolibrary.org/obo/UBERON_0002107|http://purl.obolibrary.org/obo/UBERON_0004647","","false","UBERON_0001193","hepatic artery","efo","http://purl.obolibrary.org/obo/UBERON_0001637|http://purl.obolibrary.org/obo/UBERON_0002107|http://purl.obolibrary.org/obo/UBERON_0004647","","http://www.w3.org/2002/07/owl#Class"
"efo+class+http://purl.obolibrary.org/obo/UBERON_0001281","OntologyEntity|OntologyClass","false","false","false","{""directParent"":[""http://purl.obolibrary.org/obo/UBERON_0001982"",""http://purl.obolibrary.org/obo/UBERON_0001986""],""hasChildren"":""false"",""hierarchicalParent"":[""http://purl.obolibrary.org/obo/UBERON_0001982"",""http://purl.obolibrary.org/obo/UBERON_0001986"",{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0000916"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0001981"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0002100"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0002107"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0004535"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0004647"",""isObsolete"":""false"",""propertyLabels"":{}}],""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2000/01/rdf-schema#label"":""hepatic sinusoid"",""http://www.w3.org/2000/01/rdf-schema#subClassOf"":[""http://purl.obolibrary.org/obo/UBERON_0001982"",""http://purl.obolibrary.org/obo/UBERON_0001986"",{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0000916"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0001981"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0002100"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0002107"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0004535"",""isObsolete"":""false"",""propertyLabels"":{}},{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000050"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/UBERON_0004647"",""isObsolete"":""false"",""propertyLabels"":{}}],""imported"":""false"",""isDefiningOntology"":""false"",""isObsolete"":""false"",""isRoot"":""false"",""label"":""hepatic sinusoid"",""ontologyId"":""efo"",""propertyLabels"":{},""shortForm"":""UBERON_0001281"",""type"":[""class"",""entity""],""uri"":""http://purl.obolibrary.org/obo/UBERON_0001281""}","false","hepatic sinusoid","class|entity","http://purl.obolibrary.org/obo/UBERON_0001281","http://purl.obolibrary.org/obo/UBERON_0001982|http://purl.obolibrary.org/obo/UBERON_0001986","http://purl.obolibrary.org/obo/UBERON_0001982|http://purl.obolibrary.org/obo/UBERON_0001986|http://purl.obolibrary.org/obo/UBERON_0000916|http://purl.obolibrary.org/obo/UBERON_0001981|http://purl.obolibrary.org/obo/UBERON_0002100|http://purl.obolibrary.org/obo/UBERON_0002107|http://purl.obolibrary.org/obo/UBERON_0004535|http://purl.obolibrary.org/obo/UBERON_0004647","","false","UBERON_0001281","hepatic sinusoid","efo","http://purl.obolibrary.org/obo/UBERON_0001982|http://purl.obolibrary.org/obo/UBERON_0001986|http://purl.obolibrary.org/obo/UBERON_0000916|http://purl.obolibrary.org/obo/UBERON_0001981|http://purl.obolibrary.org/obo/UBERON_0002100|http://purl.obolibrary.org/obo/UBERON_0002107|http://purl.obolibrary.org/obo/UBERON_0004535|http://purl.obolibrary.org/obo/UBERON_0004647","","http://www.w3.org/2002/07/owl#Class"
"efo+class+http://purl.obolibrary.org/obo/UBERON_0001637","OntologyEntity|OntologyClass","false","false","true","{""directParent"":""http://purl.obolibrary.org/obo/UBERON_0001981"",""hasChildren"":""true"",""hierarchicalParent"":""http://purl.obolibrary.org/obo/UBERON_0001981"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2000/01/rdf-schema#label"":""artery"",""http://www.w3.org/2000/01/rdf-schema#subClassOf"":""http://purl.obolibrary.org/obo/UBERON_0001981"",""imported"":""false"",""isDefiningOntology"":""false"",""isObsolete"":""false"",""isRoot"":""false"",""label"":""artery"",""ontologyId"":""efo"",""propertyLabels"":{},""shortForm"":""UBERON_0001637"",""type"":[""class"",""entity""],""uri"":""http://purl.obolibrary.org/obo/UBERON_0001637""}","false","artery","class|entity","http://purl.obolibrary.org/obo/UBERON_0001637","http://purl.obolibrary.org/obo/UBERON_0001981","http://purl.obolibrary.org/obo/UBERON_0001981","","false","UBERON_0001637","artery","efo","http://purl.obolibrary.org/obo/UBERON_0001981","","http://www.w3.org/2002/07/owl#Class"
