":START_ID",":TYPE",":END_ID","_json"
"individuals-anonymous-types-with-inverse+class+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#A","linksTo","individuals-anonymous-types-with-inverse+individual+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#a","{}"
"individuals-anonymous-types-with-inverse+class+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#A","linksTo","individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#relation","{}"
"individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#inverseRelation","http://www.w3.org/2002/07/owl#inverseOf","individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#relation","{}"
"individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#inverseRelation","linksTo","individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#relation","{}"
"individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#relation","http://www.w3.org/2002/07/owl#inverseOf","individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#inverseRelation","{}"
"individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#relation","linksTo","individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#inverseRelation","{}"
"individuals-anonymous-types-with-inverse+individual+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#a","relatedTo","individuals-anonymous-types-with-inverse+class+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#A","{""property"":""http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#relation"",""value"":""http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#A"",""type"":[""related""],""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#hasValue"":""http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#a"",""http://www.w3.org/2002/07/owl#onProperty"":""http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#relation"",""isObsolete"":false}"
"individuals-anonymous-types-with-inverse+individual+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#a","linksTo","individuals-anonymous-types-with-inverse+class+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#A","{}"
"individuals-anonymous-types-with-inverse+individual+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#a","linksTo","individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#inverseRelation","{}"
"individuals-anonymous-types-with-inverse+individual+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#a","linksTo","individuals-anonymous-types-with-inverse+property+http://www.ebi.ac.uk/testcases/individuals/anonymous-types-with-inverse.owl#relation","{}"
