":START_ID",":TYPE",":END_ID","_json"
"xmpl+class+http://exmpl.org/xmpl/XMPL000001","linksTo","xmpl+property+http://exmpl.org/xmpl/Preferred_name","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000001","linksTo","xmpl+property+http://exmpl.org/xmpl/Synonym","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000002","directParent","xmpl+class+http://exmpl.org/xmpl/XMPL000001","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000002","hierarchicalParent","xmpl+class+http://exmpl.org/xmpl/XMPL000001","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000002","http://www.w3.org/2000/01/rdf-schema#subClassOf","xmpl+class+http://exmpl.org/xmpl/XMPL000001","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000002","linksTo","xmpl+property+http://exmpl.org/xmpl/Preferred_name","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000002","linksTo","xmpl+property+http://exmpl.org/xmpl/Synonym","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000002","linksTo","xmpl+class+http://exmpl.org/xmpl/XMPL000001","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000003","directParent","xmpl+class+http://exmpl.org/xmpl/XMPL000001","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000003","hierarchicalParent","xmpl+class+http://exmpl.org/xmpl/XMPL000001","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000003","http://www.w3.org/2000/01/rdf-schema#subClassOf","xmpl+class+http://exmpl.org/xmpl/XMPL000001","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000003","linksTo","xmpl+property+http://exmpl.org/xmpl/Synonym","{}"
"xmpl+class+http://exmpl.org/xmpl/XMPL000003","linksTo","xmpl+class+http://exmpl.org/xmpl/XMPL000001","{}"
