":START_ID",":TYPE",":END_ID","_json"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Father","directParent","owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Parent","{}"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Father","http://www.w3.org/2000/01/rdf-schema#subClassOf","owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Parent","{}"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Father","ontologyIri","owl2primer-disjointunionof+ontology+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf.owl","{}"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Father","hierarchicalParent","owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Parent","{}"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Mother","directParent","owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Parent","{}"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Mother","http://www.w3.org/2000/01/rdf-schema#subClassOf","owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Parent","{}"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Mother","ontologyIri","owl2primer-disjointunionof+ontology+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf.owl","{}"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Mother","hierarchicalParent","owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Parent","{}"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Parent","ontologyIri","owl2primer-disjointunionof+ontology+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf.owl","{}"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Parent","http://www.w3.org/2002/07/owl#disjointUnionOf","owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Father","{}"
"owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Parent","http://www.w3.org/2002/07/owl#disjointUnionOf","owl2primer-disjointunionof+class+http://www.ebi.ac.uk/testcases/owl2primer/disjointUnionOf#Mother","{}"
