":START_ID",":TYPE",":END_ID","_json"
"owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Man","directParent","owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Person","{}"
"owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Man","http://www.w3.org/2000/01/rdf-schema#subClassOf","owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Person","{}"
"owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Man","http://www.w3.org/2002/07/owl#disjointWith","owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Woman","{}"
"owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Man","ontologyIri","owl2primer-objectproperty-assertionproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty.owl","{}"
"owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Man","hierarchicalParent","owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Person","{}"
"owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Person","ontologyIri","owl2primer-objectproperty-assertionproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty.owl","{}"
"owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Woman","directParent","owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Person","{}"
"owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Woman","http://www.w3.org/2000/01/rdf-schema#subClassOf","owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Person","{}"
"owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Woman","ontologyIri","owl2primer-objectproperty-assertionproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty.owl","{}"
"owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Woman","hierarchicalParent","owl2primer-objectproperty-assertionproperty+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Person","{}"
"owl2primer-objectproperty-assertionproperty+property+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#hasWife","ontologyIri","owl2primer-objectproperty-assertionproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty.owl","{}"
"owl2primer-objectproperty-assertionproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#John","http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#hasWife","owl2primer-objectproperty-assertionproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Mary","{}"
"owl2primer-objectproperty-assertionproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#John","ontologyIri","owl2primer-objectproperty-assertionproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty.owl","{}"
"owl2primer-objectproperty-assertionproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty#Mary","ontologyIri","owl2primer-objectproperty-assertionproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-assertionProperty.owl","{}"
