":START_ID",":TYPE",":END_ID","_json"
"owl2primer-disjointclasses+ontology+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses.owl","uri","owl2primer-disjointclasses+ontology+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses.owl","{}"
"owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Man","uri","owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Man","{}"
"owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Man","directParent","owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Person","{}"
"owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Man","http://www.w3.org/2000/01/rdf-schema#subClassOf","owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Person","{}"
"owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Man","hierarchicalParent","owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Person","{}"
"owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Person","uri","owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Person","{}"
"owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Woman","uri","owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Woman","{}"
"owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Woman","directParent","owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Person","{}"
"owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Woman","http://www.w3.org/2000/01/rdf-schema#subClassOf","owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Person","{}"
"owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Woman","hierarchicalParent","owl2primer-disjointclasses+class+http://www.ebi.ac.uk/testcases/owl2primer/allDisjointClasses#Person","{}"
