":START_ID",":TYPE",":END_ID","_json"
"owl2primer-equivalentclass-collection+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl","iri","owl2primer-equivalentclass-collection+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl","{}"
"owl2primer-equivalentclass-collection+class+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#MyBirthdayGuests","iri","owl2primer-equivalentclass-collection+class+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#MyBirthdayGuests","{}"
"owl2primer-equivalentclass-collection+class+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#MyBirthdayGuests","ontologyIri","owl2primer-equivalentclass-collection+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl","{}"
"owl2primer-equivalentclass-collection+class+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#MyBirthdayGuests","http://www.w3.org/2002/07/owl#equivalentClass","owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#Bill","{}"
"owl2primer-equivalentclass-collection+class+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#MyBirthdayGuests","http://www.w3.org/2002/07/owl#equivalentClass","owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#John","{}"
"owl2primer-equivalentclass-collection+class+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#MyBirthdayGuests","http://www.w3.org/2002/07/owl#equivalentClass","owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#Mary","{}"
"owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#Bill","iri","owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#Bill","{}"
"owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#Bill","ontologyIri","owl2primer-equivalentclass-collection+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl","{}"
"owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#John","iri","owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#John","{}"
"owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#John","ontologyIri","owl2primer-equivalentclass-collection+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl","{}"
"owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#Mary","iri","owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#Mary","{}"
"owl2primer-equivalentclass-collection+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl#Mary","ontologyIri","owl2primer-equivalentclass-collection+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentClass-collection.owl","{}"
