":START_ID",":TYPE",":END_ID","_json"
"owl2primer-equivalentobjectproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty.owl","iri","owl2primer-equivalentobjectproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty.owl","{}"
"owl2primer-equivalentobjectproperty+property+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#hasLifePartner","http://www.w3.org/2002/07/owl#equivalentProperty","owl2primer-equivalentobjectproperty+property+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#hasSpouse","{}"
"owl2primer-equivalentobjectproperty+property+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#hasLifePartner","iri","owl2primer-equivalentobjectproperty+property+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#hasLifePartner","{}"
"owl2primer-equivalentobjectproperty+property+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#hasLifePartner","ontologyIri","owl2primer-equivalentobjectproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty.owl","{}"
"owl2primer-equivalentobjectproperty+property+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#hasSpouse","iri","owl2primer-equivalentobjectproperty+property+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#hasSpouse","{}"
"owl2primer-equivalentobjectproperty+property+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#hasSpouse","ontologyIri","owl2primer-equivalentobjectproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty.owl","{}"
"owl2primer-equivalentobjectproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#John","iri","owl2primer-equivalentobjectproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#John","{}"
"owl2primer-equivalentobjectproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#John","ontologyIri","owl2primer-equivalentobjectproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty.owl","{}"
"owl2primer-equivalentobjectproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#Mary","iri","owl2primer-equivalentobjectproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#Mary","{}"
"owl2primer-equivalentobjectproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#Mary","http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#hasLifePartner","owl2primer-equivalentobjectproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#John","{}"
"owl2primer-equivalentobjectproperty+individual+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty#Mary","ontologyIri","owl2primer-equivalentobjectproperty+ontology+http://www.ebi.ac.uk/testcases/owl2primer/equivalentObjectProperty.owl","{}"
