":START_ID",":TYPE",":END_ID","_json"
"owl2primer-objectproperty-negativepropertyassertion+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion.owl","iri","owl2primer-objectproperty-negativepropertyassertion+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion.owl","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Man","iri","owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Man","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Man","directParent","owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Person","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Man","http://www.w3.org/2000/01/rdf-schema#subClassOf","owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Person","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Man","http://www.w3.org/2002/07/owl#disjointWith","owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Woman","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Man","ontologyIri","owl2primer-objectproperty-negativepropertyassertion+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion.owl","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Man","hierarchicalParent","owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Person","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Person","iri","owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Person","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Person","ontologyIri","owl2primer-objectproperty-negativepropertyassertion+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion.owl","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Woman","iri","owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Woman","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Woman","directParent","owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Person","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Woman","http://www.w3.org/2000/01/rdf-schema#subClassOf","owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Person","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Woman","ontologyIri","owl2primer-objectproperty-negativepropertyassertion+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion.owl","{}"
"owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Woman","hierarchicalParent","owl2primer-objectproperty-negativepropertyassertion+class+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Person","{}"
"owl2primer-objectproperty-negativepropertyassertion+property+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#hasWife","iri","owl2primer-objectproperty-negativepropertyassertion+property+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#hasWife","{}"
"owl2primer-objectproperty-negativepropertyassertion+property+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#hasWife","ontologyIri","owl2primer-objectproperty-negativepropertyassertion+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion.owl","{}"
"owl2primer-objectproperty-negativepropertyassertion+individual+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Bill","iri","owl2primer-objectproperty-negativepropertyassertion+individual+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Bill","{}"
"owl2primer-objectproperty-negativepropertyassertion+individual+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Bill","ontologyIri","owl2primer-objectproperty-negativepropertyassertion+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion.owl","{}"
"owl2primer-objectproperty-negativepropertyassertion+individual+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Mary","iri","owl2primer-objectproperty-negativepropertyassertion+individual+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Mary","{}"
"owl2primer-objectproperty-negativepropertyassertion+individual+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion#Mary","ontologyIri","owl2primer-objectproperty-negativepropertyassertion+ontology+http://www.ebi.ac.uk/testcases/owl2primer/objectProperty-negativePropertyAssertion.owl","{}"
