":START_ID",":TYPE",":END_ID","_json"
"owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Man","directParent","owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Person","{}"
"owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Man","http://www.w3.org/2000/01/rdf-schema#subClassOf","owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Person","{}"
"owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Man","http://www.w3.org/2002/07/owl#disjointWith","owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Woman","{}"
"owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Man","ontologyIri","owl2primer-subobjectpropertyof+ontology+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf","{}"
"owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Man","hierarchicalParent","owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Person","{}"
"owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Person","ontologyIri","owl2primer-subobjectpropertyof+ontology+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf","{}"
"owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Woman","directParent","owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Person","{}"
"owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Woman","http://www.w3.org/2000/01/rdf-schema#subClassOf","owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Person","{}"
"owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Woman","ontologyIri","owl2primer-subobjectpropertyof+ontology+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf","{}"
"owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Woman","hierarchicalParent","owl2primer-subobjectpropertyof+class+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#Person","{}"
"owl2primer-subobjectpropertyof+property+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#hasSpouse","ontologyIri","owl2primer-subobjectpropertyof+ontology+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf","{}"
"owl2primer-subobjectpropertyof+property+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#hasWife","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","owl2primer-subobjectpropertyof+property+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#hasSpouse","{}"
"owl2primer-subobjectpropertyof+property+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf#hasWife","ontologyIri","owl2primer-subobjectpropertyof+ontology+http://www.ebi.ac.uk/testcases/owl2primer/subObjectPropertyOf","{}"
