":START_ID",":TYPE",":END_ID","_json"
"related-oneof+class+http://www.ebi.ac.uk/testcases/related/oneOf.owl#A","http://www.w3.org/2000/01/rdf-schema#subClassOf","related-oneof+individual+http://www.ebi.ac.uk/testcases/related/oneOf.owl#b1","{}"
"related-oneof+class+http://www.ebi.ac.uk/testcases/related/oneOf.owl#A","http://www.w3.org/2000/01/rdf-schema#subClassOf","related-oneof+individual+http://www.ebi.ac.uk/testcases/related/oneOf.owl#b2","{}"
"related-oneof+class+http://www.ebi.ac.uk/testcases/related/oneOf.owl#A","http://www.w3.org/2000/01/rdf-schema#subClassOf","related-oneof+individual+http://www.ebi.ac.uk/testcases/related/oneOf.owl#b3","{}"
"related-oneof+class+http://www.ebi.ac.uk/testcases/related/oneOf.owl#A","ontologyIri","related-oneof+ontology+http://www.ebi.ac.uk/testcases/related/oneOf.owl","{}"
"related-oneof+individual+http://www.ebi.ac.uk/testcases/related/oneOf.owl#b1","relatedTo","related-oneof+class+http://www.ebi.ac.uk/testcases/related/oneOf.owl#A","{}"
"related-oneof+individual+http://www.ebi.ac.uk/testcases/related/oneOf.owl#b1","ontologyIri","related-oneof+ontology+http://www.ebi.ac.uk/testcases/related/oneOf.owl","{}"
"related-oneof+individual+http://www.ebi.ac.uk/testcases/related/oneOf.owl#b2","relatedTo","related-oneof+class+http://www.ebi.ac.uk/testcases/related/oneOf.owl#A","{}"
"related-oneof+individual+http://www.ebi.ac.uk/testcases/related/oneOf.owl#b2","ontologyIri","related-oneof+ontology+http://www.ebi.ac.uk/testcases/related/oneOf.owl","{}"
"related-oneof+individual+http://www.ebi.ac.uk/testcases/related/oneOf.owl#b3","relatedTo","related-oneof+class+http://www.ebi.ac.uk/testcases/related/oneOf.owl#A","{}"
"related-oneof+individual+http://www.ebi.ac.uk/testcases/related/oneOf.owl#b3","ontologyIri","related-oneof+ontology+http://www.ebi.ac.uk/testcases/related/oneOf.owl","{}"
