":START_ID",":TYPE",":END_ID","_json"
"related-somevaluesof-oneof+class+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#A","relatedTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3","{""property"":""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#r"",""value"":""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3"",""type"":[""related""],""http://www.w3.org/1999/02/22-rdf-syntax-ns#first"":""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#rest"":[""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2"",""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3""],""isObsolete"":false}"
"related-somevaluesof-oneof+class+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#A","relatedTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2","{""property"":""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#r"",""value"":""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2"",""type"":[""related""],""http://www.w3.org/1999/02/22-rdf-syntax-ns#first"":""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#rest"":[""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2"",""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3""],""isObsolete"":false}"
"related-somevaluesof-oneof+class+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#A","relatedTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1","{""property"":""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#r"",""value"":""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1"",""type"":[""related""],""http://www.w3.org/1999/02/22-rdf-syntax-ns#first"":""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#rest"":[""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2"",""http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3""],""isObsolete"":false}"
"related-somevaluesof-oneof+class+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#A","linksTo","related-somevaluesof-oneof+property+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#r","{}"
"related-somevaluesof-oneof+class+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#A","linksTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3","{}"
"related-somevaluesof-oneof+class+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#A","linksTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2","{}"
"related-somevaluesof-oneof+class+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#A","linksTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1","linksTo","related-somevaluesof-oneof+class+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#A","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1","linksTo","related-somevaluesof-oneof+property+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#r","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1","linksTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1","linksTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2","linksTo","related-somevaluesof-oneof+class+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#A","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2","linksTo","related-somevaluesof-oneof+property+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#r","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2","linksTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2","linksTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3","linksTo","related-somevaluesof-oneof+class+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#A","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3","linksTo","related-somevaluesof-oneof+property+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#r","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3","linksTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b2","{}"
"related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b3","linksTo","related-somevaluesof-oneof+individual+http://www.ebi.ac.uk/testcases/related/someValuesOf-oneOf.owl#b1","{}"
