":START_ID",":TYPE",":END_ID","_json"
"edam+property+http://edamontology.org/has_format","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/is_format_of","{}"
"edam+property+http://edamontology.org/has_format","linksTo","edam+property+http://edamontology.org/is_format_of","{}"
"edam+property+http://edamontology.org/has_function","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/is_function_of","{}"
"edam+property+http://edamontology.org/has_function","linksTo","edam+property+http://edamontology.org/is_function_of","{}"
"edam+property+http://edamontology.org/has_identifier","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/is_identifier_of","{}"
"edam+property+http://edamontology.org/has_identifier","linksTo","edam+property+http://edamontology.org/is_identifier_of","{}"
"edam+property+http://edamontology.org/has_input","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/is_input_of","{}"
"edam+property+http://edamontology.org/has_input","linksTo","edam+property+http://edamontology.org/is_input_of","{}"
"edam+property+http://edamontology.org/has_output","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/is_output_of","{}"
"edam+property+http://edamontology.org/has_output","linksTo","edam+property+http://edamontology.org/is_output_of","{}"
"edam+property+http://edamontology.org/has_topic","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/is_topic_of","{}"
"edam+property+http://edamontology.org/has_topic","linksTo","edam+property+http://edamontology.org/is_topic_of","{}"
"edam+property+http://edamontology.org/is_format_of","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/has_format","{}"
"edam+property+http://edamontology.org/is_format_of","linksTo","edam+property+http://edamontology.org/has_format","{}"
"edam+property+http://edamontology.org/is_function_of","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/has_function","{}"
"edam+property+http://edamontology.org/is_function_of","linksTo","edam+property+http://edamontology.org/has_function","{}"
"edam+property+http://edamontology.org/is_identifier_of","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/has_identifier","{}"
"edam+property+http://edamontology.org/is_identifier_of","linksTo","edam+property+http://edamontology.org/has_identifier","{}"
"edam+property+http://edamontology.org/is_input_of","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/has_input","{}"
"edam+property+http://edamontology.org/is_input_of","linksTo","edam+property+http://edamontology.org/has_input","{}"
"edam+property+http://edamontology.org/is_output_of","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/has_output","{}"
"edam+property+http://edamontology.org/is_output_of","linksTo","edam+property+http://edamontology.org/has_output","{}"
"edam+property+http://edamontology.org/is_topic_of","http://www.w3.org/2002/07/owl#inverseOf","edam+property+http://edamontology.org/has_topic","{}"
"edam+property+http://edamontology.org/is_topic_of","linksTo","edam+property+http://edamontology.org/has_topic","{}"
"edam+ontology+http://edamontology.org","homepage","edam+ontology+http://edamontology.org","{}"
"edam+ontology+http://edamontology.org","uri","edam+ontology+http://edamontology.org","{}"
