"id:ID",":LABEL","_json","curie:string[]","definedBy:string[]","directAncestor:string[]","hasDirectChildren:string[]","hasDirectParents:string[]","hasHierarchicalChildren:string[]","hasHierarchicalParents:string[]","http__//www.w3.org/1999/02/22-rdf-syntax-ns#type:string[]","http__//www.w3.org/2002/07/owl#inverseOf:string[]","imported:string[]","iri","isDefiningOntology:string[]","isObsolete:string[]","isPreferredRoot:string[]","label:string[]","linkedEntities:string[]","linksTo:string[]","numDescendants:string[]","numHierarchicalDescendants:string[]","ontologyId:string[]","ontologyIri:string[]","ontologyPreferredPrefix:string[]","shortForm:string[]","type:string[]","embeddings_mock:float[]"
"edam+property+http://edamontology.org/has_format","OntologyEntity|OntologyProperty","{""iri"":""http://edamontology.org/has_format"",""type"":[""entity"",""objectProperty"",""property""],""curie"":{""type"":[""literal""],""value"":""has:format""},""directAncestor"":[],""hasDirectChildren"":false,""hasDirectParents"":false,""hasHierarchicalChildren"":false,""hasHierarchicalParents"":false,""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#ObjectProperty"",""http://www.w3.org/2002/07/owl#inverseOf"":""http://edamontology.org/is_format_of"",""imported"":false,""isObsolete"":false,""isPreferredRoot"":false,""label"":[{""type"":[""literal""],""value"":""has_format""}],""numDescendants"":0,""numHierarchicalDescendants"":0,""ontologyId"":{""type"":[""literal""],""value"":""edam""},""ontologyIri"":{""type"":[""literal""],""value"":""http://edamontology.org""},""ontologyPreferredPrefix"":{""type"":[""literal""],""value"":""EDAM""},""searchableAnnotationValues"":false,""shortForm"":{""type"":[""literal""],""value"":""has_format""},""isDefiningOntology"":false,""appearsIn"":[""edam""],""linkedEntities"":{""http://edamontology.org/is_format_of"":{""numAppearsIn"":1,""hasLocalDefinition"":true,""label"":[{""type"":[""literal""],""value"":""is_format_of""}],""curie"":{""type"":[""literal""],""value"":""is:format_of""},""type"":[""entity"",""objectProperty"",""property""]}},""linksTo"":[""http://edamontology.org/is_format_of""]}","has:format","","","false","false","false","false","http://www.w3.org/2002/07/owl#ObjectProperty","http://edamontology.org/is_format_of","false","http://edamontology.org/has_format","false","false","false","has_format","","http://edamontology.org/is_format_of","0","0","edam","http://edamontology.org","EDAM","has_format","entity|objectProperty|property",""
"edam+property+http://edamontology.org/has_function","OntologyEntity|OntologyProperty","{""iri"":""http://edamontology.org/has_function"",""type"":[""entity"",""objectProperty"",""property""],""curie"":{""type"":[""literal""],""value"":""has:function""},""directAncestor"":[],""hasDirectChildren"":false,""hasDirectParents"":false,""hasHierarchicalChildren"":false,""hasHierarchicalParents"":false,""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#ObjectProperty"",""http://www.w3.org/2002/07/owl#inverseOf"":""http://edamontology.org/is_function_of"",""imported"":false,""isObsolete"":false,""isPreferredRoot"":false,""label"":[{""type"":[""literal""],""value"":""has_function""}],""numDescendants"":0,""numHierarchicalDescendants"":0,""ontologyId"":{""type"":[""literal""],""value"":""edam""},""ontologyIri"":{""type"":[""literal""],""value"":""http://edamontology.org""},""ontologyPreferredPrefix"":{""type"":[""literal""],""value"":""EDAM""},""searchableAnnotationValues"":false,""shortForm"":{""type"":[""literal""],""value"":""has_function""},""isDefiningOntology"":false,""appearsIn"":[""edam""],""linkedEntities"":{""http://edamontology.org/is_function_of"":{""numAppearsIn"":1,""hasLocalDefinition"":true,""label"":[{""type"":[""literal""],""value"":""is_function_of""}],""curie"":{""type"":[""literal""],""value"":""is:function_of""},""type"":[""entity"",""objectProperty"",""property""]}},""linksTo"":[""http://edamontology.org/is_function_of""]}","has:function","","","false","false","false","false","http://www.w3.org/2002/07/owl#ObjectProperty","http://edamontology.org/is_function_of","false","http://edamontology.org/has_function","false","false","false","has_function","","http://edamontology.org/is_function_of","0","0","edam","http://edamontology.org","EDAM","has_function","entity|objectProperty|property",""
"edam+property+http://edamontology.org/has_identifier","OntologyEntity|OntologyProperty","{""iri"":""http://edamontology.org/has_identifier"",""type"":[""entity"",""objectProperty"",""property""],""curie"":{""type"":[""literal""],""value"":""has:identifier""},""directAncestor"":[],""hasDirectChildren"":false,""hasDirectParents"":false,""hasHierarchicalChildren"":false,""hasHierarchicalParents"":false,""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#ObjectProperty"",""http://www.w3.org/2002/07/owl#inverseOf"":""http://edamontology.org/is_identifier_of"",""imported"":false,""isObsolete"":false,""isPreferredRoot"":false,""label"":[{""type"":[""literal""],""value"":""has_identifier""}],""numDescendants"":0,""numHierarchicalDescendants"":0,""ontologyId"":{""type"":[""literal""],""value"":""edam""},""ontologyIri"":{""type"":[""literal""],""value"":""http://edamontology.org""},""ontologyPreferredPrefix"":{""type"":[""literal""],""value"":""EDAM""},""searchableAnnotationValues"":false,""shortForm"":{""type"":[""literal""],""value"":""has_identifier""},""isDefiningOntology"":false,""appearsIn"":[""edam""],""linkedEntities"":{""http://edamontology.org/is_identifier_of"":{""numAppearsIn"":1,""hasLocalDefinition"":true,""label"":[{""type"":[""literal""],""value"":""is_identifier_of""}],""curie"":{""type"":[""literal""],""value"":""is:identifier_of""},""type"":[""entity"",""objectProperty"",""property""]}},""linksTo"":[""http://edamontology.org/is_identifier_of""]}","has:identifier","","","false","false","false","false","http://www.w3.org/2002/07/owl#ObjectProperty","http://edamontology.org/is_identifier_of","false","http://edamontology.org/has_identifier","false","false","false","has_identifier","","http://edamontology.org/is_identifier_of","0","0","edam","http://edamontology.org","EDAM","has_identifier","entity|objectProperty|property",""
"edam+property+http://edamontology.org/has_input","OntologyEntity|OntologyProperty","{""iri"":""http://edamontology.org/has_input"",""type"":[""entity"",""objectProperty"",""property""],""curie"":{""type"":[""literal""],""value"":""has:input""},""directAncestor"":[],""hasDirectChildren"":false,""hasDirectParents"":false,""hasHierarchicalChildren"":false,""hasHierarchicalParents"":false,""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#ObjectProperty"",""http://www.w3.org/2002/07/owl#inverseOf"":""http://edamontology.org/is_input_of"",""imported"":false,""isObsolete"":false,""isPreferredRoot"":false,""label"":[{""type"":[""literal""],""value"":""has_input""}],""numDescendants"":0,""numHierarchicalDescendants"":0,""ontologyId"":{""type"":[""literal""],""value"":""edam""},""ontologyIri"":{""type"":[""literal""],""value"":""http://edamontology.org""},""ontologyPreferredPrefix"":{""type"":[""literal""],""value"":""EDAM""},""searchableAnnotationValues"":false,""shortForm"":{""type"":[""literal""],""value"":""has_input""},""isDefiningOntology"":false,""appearsIn"":[""edam""],""linkedEntities"":{""http://edamontology.org/is_input_of"":{""numAppearsIn"":1,""hasLocalDefinition"":true,""label"":[{""type"":[""literal""],""value"":""is_input_of""}],""curie"":{""type"":[""literal""],""value"":""is:input_of""},""type"":[""entity"",""objectProperty"",""property""]}},""linksTo"":[""http://edamontology.org/is_input_of""]}","has:input","","","false","false","false","false","http://www.w3.org/2002/07/owl#ObjectProperty","http://edamontology.org/is_input_of","false","http://edamontology.org/has_input","false","false","false","has_input","","http://edamontology.org/is_input_of","0","0","edam","http://edamontology.org","EDAM","has_input","entity|objectProperty|property",""
"edam+property+http://edamontology.org/has_output","OntologyEntity|OntologyProperty","{""iri"":""http://edamontology.org/has_output"",""type"":[""entity"",""objectProperty"",""property""],""curie"":{""type"":[""literal""],""value"":""has:output""},""directAncestor"":[],""hasDirectChildren"":false,""hasDirectParents"":false,""hasHierarchicalChildren"":false,""hasHierarchicalParents"":false,""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#ObjectProperty"",""http://www.w3.org/2002/07/owl#inverseOf"":""http://edamontology.org/is_output_of"",""imported"":false,""isObsolete"":false,""isPreferredRoot"":false,""label"":[{""type"":[""literal""],""value"":""has_output""}],""numDescendants"":0,""numHierarchicalDescendants"":0,""ontologyId"":{""type"":[""literal""],""value"":""edam""},""ontologyIri"":{""type"":[""literal""],""value"":""http://edamontology.org""},""ontologyPreferredPrefix"":{""type"":[""literal""],""value"":""EDAM""},""searchableAnnotationValues"":false,""shortForm"":{""type"":[""literal""],""value"":""has_output""},""isDefiningOntology"":false,""appearsIn"":[""edam""],""linkedEntities"":{""http://edamontology.org/is_output_of"":{""numAppearsIn"":1,""hasLocalDefinition"":true,""label"":[{""type"":[""literal""],""value"":""is_output_of""}],""curie"":{""type"":[""literal""],""value"":""is:output_of""},""type"":[""entity"",""objectProperty"",""property""]}},""linksTo"":[""http://edamontology.org/is_output_of""]}","has:output","","","false","false","false","false","http://www.w3.org/2002/07/owl#ObjectProperty","http://edamontology.org/is_output_of","false","http://edamontology.org/has_output","false","false","false","has_output","","http://edamontology.org/is_output_of","0","0","edam","http://edamontology.org","EDAM","has_output","entity|objectProperty|property",""
"edam+property+http://edamontology.org/has_topic","OntologyEntity|OntologyProperty","{""iri"":""http://edamontology.org/has_topic"",""type"":[""entity"",""objectProperty"",""property""],""curie"":{""type"":[""literal""],""value"":""has:topic""},""directAncestor"":[],""hasDirectChildren"":false,""hasDirectParents"":false,""hasHierarchicalChildren"":false,""hasHierarchicalParents"":false,""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#ObjectProperty"",""http://www.w3.org/2002/07/owl#inverseOf"":""http://edamontology.org/is_topic_of"",""imported"":false,""isObsolete"":false,""isPreferredRoot"":false,""label"":[{""type"":[""literal""],""value"":""has_topic""}],""numDescendants"":0,""numHierarchicalDescendants"":0,""ontologyId"":{""type"":[""literal""],""value"":""edam""},""ontologyIri"":{""type"":[""literal""],""value"":""http://edamontology.org""},""ontologyPreferredPrefix"":{""type"":[""literal""],""value"":""EDAM""},""searchableAnnotationValues"":false,""shortForm"":{""type"":[""literal""],""value"":""has_topic""},""isDefiningOntology"":false,""appearsIn"":[""edam""],""linkedEntities"":{""http://edamontology.org/is_topic_of"":{""numAppearsIn"":1,""hasLocalDefinition"":true,""label"":[{""type"":[""literal""],""value"":""is_topic_of""}],""curie"":{""type"":[""literal""],""value"":""is:topic_of""},""type"":[""entity"",""objectProperty"",""property""]}},""linksTo"":[""http://edamontology.org/is_topic_of""]}","has:topic","","","false","false","false","false","http://www.w3.org/2002/07/owl#ObjectProperty","http://edamontology.org/is_topic_of","false","http://edamontology.org/has_topic","false","false","false","has_topic","","http://edamontology.org/is_topic_of","0","0","edam","http://edamontology.org","EDAM","has_topic","entity|objectProperty|property",""
"edam+property+http://edamontology.org/is_format_of","OntologyEntity|OntologyProperty","{""iri"":""http://edamontology.org/is_format_of"",""type"":[""entity"",""objectProperty"",""property""],""curie"":{""type"":[""literal""],""value"":""is:format_of""},""directAncestor"":[],""hasDirectChildren"":false,""hasDirectParents"":false,""hasHierarchicalChildren"":false,""hasHierarchicalParents"":false,""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#ObjectProperty"",""http://www.w3.org/2002/07/owl#inverseOf"":""http://edamontology.org/has_format"",""imported"":false,""isObsolete"":false,""isPreferredRoot"":false,""label"":[{""type"":[""literal""],""value"":""is_format_of""}],""numDescendants"":0,""numHierarchicalDescendants"":0,""ontologyId"":{""type"":[""literal""],""value"":""edam""},""ontologyIri"":{""type"":[""literal""],""value"":""http://edamontology.org""},""ontologyPreferredPrefix"":{""type"":[""literal""],""value"":""EDAM""},""searchableAnnotationValues"":false,""shortForm"":{""type"":[""literal""],""value"":""is_format_of""},""isDefiningOntology"":false,""appearsIn"":[""edam""],""linkedEntities"":{""http://edamontology.org/has_format"":{""numAppearsIn"":1,""hasLocalDefinition"":true,""label"":[{""type"":[""literal""],""value"":""has_format""}],""curie"":{""type"":[""literal""],""value"":""has:format""},""type"":[""entity"",""objectProperty"",""property""]}},""linksTo"":[""http://edamontology.org/has_format""]}","is:format_of","","","false","false","false","false","http://www.w3.org/2002/07/owl#ObjectProperty","http://edamontology.org/has_format","false","http://edamontology.org/is_format_of","false","false","false","is_format_of","","http://edamontology.org/has_format","0","0","edam","http://edamontology.org","EDAM","is_format_of","entity|objectProperty|property",""
"edam+property+http://edamontology.org/is_function_of","OntologyEntity|OntologyProperty","{""iri"":""http://edamontology.org/is_function_of"",""type"":[""entity"",""objectProperty"",""property""],""curie"":{""type"":[""literal""],""value"":""is:function_of""},""directAncestor"":[],""hasDirectChildren"":false,""hasDirectParents"":false,""hasHierarchicalChildren"":false,""hasHierarchicalParents"":false,""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#ObjectProperty"",""http://www.w3.org/2002/07/owl#inverseOf"":""http://edamontology.org/has_function"",""imported"":false,""isObsolete"":false,""isPreferredRoot"":false,""label"":[{""type"":[""literal""],""value"":""is_function_of""}],""numDescendants"":0,""numHierarchicalDescendants"":0,""ontologyId"":{""type"":[""literal""],""value"":""edam""},""ontologyIri"":{""type"":[""literal""],""value"":""http://edamontology.org""},""ontologyPreferredPrefix"":{""type"":[""literal""],""value"":""EDAM""},""searchableAnnotationValues"":false,""shortForm"":{""type"":[""literal""],""value"":""is_function_of""},""isDefiningOntology"":false,""appearsIn"":[""edam""],""linkedEntities"":{""http://edamontology.org/has_function"":{""numAppearsIn"":1,""hasLocalDefinition"":true,""label"":[{""type"":[""literal""],""value"":""has_function""}],""curie"":{""type"":[""literal""],""value"":""has:function""},""type"":[""entity"",""objectProperty"",""property""]}},""linksTo"":[""http://edamontology.org/has_function""]}","is:function_of","","","false","false","false","false","http://www.w3.org/2002/07/owl#ObjectProperty","http://edamontology.org/has_function","false","http://edamontology.org/is_function_of","false","false","false","is_function_of","","http://edamontology.org/has_function","0","0","edam","http://edamontology.org","EDAM","is_function_of","entity|objectProperty|property",""
"edam+property+http://edamontology.org/is_identifier_of","OntologyEntity|OntologyProperty","{""iri"":""http://edamontology.org/is_identifier_of"",""type"":[""entity"",""objectProperty"",""property""],""curie"":{""type"":[""literal""],""value"":""is:identifier_of""},""directAncestor"":[],""hasDirectChildren"":false,""hasDirectParents"":false,""hasHierarchicalChildren"":false,""hasHierarchicalParents"":false,""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#ObjectProperty"",""http://www.w3.org/2002/07/owl#inverseOf"":""http://edamontology.org/has_identifier"",""imported"":false,""isObsolete"":false,""isPreferredRoot"":false,""label"":[{""type"":[""literal""],""value"":""is_identifier_of""}],""numDescendants"":0,""numHierarchicalDescendants"":0,""ontologyId"":{""type"":[""literal""],""value"":""edam""},""ontologyIri"":{""type"":[""literal""],""value"":""http://edamontology.org""},""ontologyPreferredPrefix"":{""type"":[""literal""],""value"":""EDAM""},""searchableAnnotationValues"":false,""shortForm"":{""type"":[""literal""],""value"":""is_identifier_of""},""isDefiningOntology"":false,""appearsIn"":[""edam""],""linkedEntities"":{""http://edamontology.org/has_identifier"":{""numAppearsIn"":1,""hasLocalDefinition"":true,""label"":[{""type"":[""literal""],""value"":""has_identifier""}],""curie"":{""type"":[""literal""],""value"":""has:identifier""},""type"":[""entity"",""objectProperty"",""property""]}},""linksTo"":[""http://edamontology.org/has_identifier""]}","is:identifier_of","","","false","false","false","false","http://www.w3.org/2002/07/owl#ObjectProperty","http://edamontology.org/has_identifier","false","http://edamontology.org/is_identifier_of","false","false","false","is_identifier_of","","http://edamontology.org/has_identifier","0","0","edam","http://edamontology.org","EDAM","is_identifier_of","entity|objectProperty|property",""
"edam+property+http://edamontology.org/is_input_of","OntologyEntity|OntologyProperty","{""iri"":""http://edamontology.org/is_input_of"",""type"":[""entity"",""objectProperty"",""property""],""curie"":{""type"":[""literal""],""value"":""is:input_of""},""directAncestor"":[],""hasDirectChildren"":false,""hasDirectParents"":false,""hasHierarchicalChildren"":false,""hasHierarchicalParents"":false,""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#ObjectProperty"",""http://www.w3.org/2002/07/owl#inverseOf"":""http://edamontology.org/has_input"",""imported"":false,""isObsolete"":false,""isPreferredRoot"":false,""label"":[{""type"":[""literal""],""value"":""is_input_of""}],""numDescendants"":0,""numHierarchicalDescendants"":0,""ontologyId"":{""type"":[""literal""],""value"":""edam""},""ontologyIri"":{""type"":[""literal""],""value"":""http://edamontology.org""},""ontologyPreferredPrefix"":{""type"":[""literal""],""value"":""EDAM""},""searchableAnnotationValues"":false,""shortForm"":{""type"":[""literal""],""value"":""is_input_of""},""isDefiningOntology"":false,""appearsIn"":[""edam""],""linkedEntities"":{""http://edamontology.org/has_input"":{""numAppearsIn"":1,""hasLocalDefinition"":true,""label"":[{""type"":[""literal""],""value"":""has_input""}],""curie"":{""type"":[""literal""],""value"":""has:input""},""type"":[""entity"",""objectProperty"",""property""]}},""linksTo"":[""http://edamontology.org/has_input""]}","is:input_of","","","false","false","false","false","http://www.w3.org/2002/07/owl#ObjectProperty","http://edamontology.org/has_input","false","http://edamontology.org/is_input_of","false","false","false","is_input_of","","http://edamontology.org/has_input","0","0","edam","http://edamontology.org","EDAM","is_input_of","entity|objectProperty|property",""
