":START_ID",":TYPE",":END_ID","_json"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000001","directParent","duo+class+http://purl.obolibrary.org/obo/IAO_0000027","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000001","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/IAO_0000027","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000001","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/IAO_0000027","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000001","linksTo","duo+class+http://purl.obolibrary.org/obo/DUO_0000001","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000001","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000027","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000001","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000030","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000001","linksTo","duo+property+http://www.geneontology.org/formats/oboInOwl#id","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000002","linksTo","duo+class+http://purl.obolibrary.org/obo/DUO_0000002","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000002","linksTo","duo+property+http://www.geneontology.org/formats/oboInOwl#id","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000003","linksTo","duo+class+http://purl.obolibrary.org/obo/DUO_0000003","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000003","linksTo","duo+property+http://www.geneontology.org/formats/oboInOwl#id","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000004","directParent","duo+class+http://purl.obolibrary.org/obo/DUO_0000001","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000004","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/DUO_0000001","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000004","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/DUO_0000001","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000004","linksTo","duo+class+http://purl.obolibrary.org/obo/DUO_0000001","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000004","linksTo","duo+class+http://purl.obolibrary.org/obo/DUO_0000004","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000004","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000027","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000004","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000030","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000004","linksTo","duo+property+http://www.geneontology.org/formats/oboInOwl#id","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_0000004","linksTo","duo+property+http://www.geneontology.org/formats/oboInOwl#shorthand","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_00000044","directParent","duo+class+http://purl.obolibrary.org/obo/DUO_0000017","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_00000044","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/DUO_0000017","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_00000044","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/DUO_0000017","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_00000044","linksTo","duo+class+http://purl.obolibrary.org/obo/DUO_0000017","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_00000044","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000027","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_00000044","linksTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000030","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_00000044","linksTo","duo+property+http://www.geneontology.org/formats/oboInOwl#id","{}"
"duo+class+http://purl.obolibrary.org/obo/DUO_00000044","linksTo","duo+property+http://www.geneontology.org/formats/oboInOwl#shorthand","{}"
