":START_ID",":TYPE",":END_ID","_json","http__//www.w3.org/2000/01/rdf-schema#comment:string[]","http__//purl.obolibrary.org/obo/IAO_0000116:string[]","childRelationToParent:string[]","http__//purl.obolibrary.org/obo/IAO_0010000:string[]","http__//www.w3.org/2000/01/rdf-schema#seeAlso:string[]","parentRelationToChild:string[]"
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","directParent","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/IAO_0000109","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","directParent","duo+class+http://purl.obolibrary.org/obo/IAO_0000109","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000032","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/IAO_0000109","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","directParent","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000033","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","relatedTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000096","{""property"":""http://purl.obolibrary.org/obo/BFO_0000051"",""value"":""http://purl.obolibrary.org/obo/IAO_0000096"",""type"":[""related""],""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/BFO_0000051"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/IAO_0000096"",""isObsolete"":false}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","relatedTo","duo+class+http://purl.obolibrary.org/obo/IAO_0000027","{""property"":""http://purl.obolibrary.org/obo/BFO_0000051"",""value"":""http://purl.obolibrary.org/obo/IAO_0000027"",""type"":[""related""],""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Class"",""http://www.w3.org/2002/07/owl#intersectionOf"":[""http://purl.obolibrary.org/obo/IAO_0000027"",{""http://www.w3.org/1999/02/22-rdf-syntax-ns#type"":""http://www.w3.org/2002/07/owl#Restriction"",""http://www.w3.org/2002/07/owl#onProperty"":""http://purl.obolibrary.org/obo/IAO_0000136"",""http://www.w3.org/2002/07/owl#someValuesFrom"":""http://purl.obolibrary.org/obo/IAO_0000096"",""isObsolete"":false}]}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/IAO_0000310","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","directParent","duo+class+http://purl.obolibrary.org/obo/IAO_0000310","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000522","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/IAO_0000310","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000524","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000524","directParent","duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000524","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000008","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000796","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000796","directParent","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/APOLLO_SV_00000796","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/OBI_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000002","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000001","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000002","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000001","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000002","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000002","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000001","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000003","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000001","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000003","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000001","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000003","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000001","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000004","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000004","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000004","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000020","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000004","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000031","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000004","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000006","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000141","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000006","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000141","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000006","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000029","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000006","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000140","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000006","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000141","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000008","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000008","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000008","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000011","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000008","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000015","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000008","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000035","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000008","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000009","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000006","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000009","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000006","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000009","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000028","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000009","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000006","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000011","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000011","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000011","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000015","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000015","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000015","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000016","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000017","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000016","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000017","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000016","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000023","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000016","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000017","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000017","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000020","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000017","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000020","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000017","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000019","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000017","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000020","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000018","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000006","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000018","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000006","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000018","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000028","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000018","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000006","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000019","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000020","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000019","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000020","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000019","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000020","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000020","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000020","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000020","http://www.w3.org/2002/07/owl#disjointWith","duo+class+http://purl.obolibrary.org/obo/BFO_0000031","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000020","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000023","http://www.w3.org/2000/01/rdf-schema#subClassOf","duo+class+http://purl.obolibrary.org/obo/BFO_0000017","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000023","directParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000017","{}","","","","","",""
"duo+class+http://purl.obolibrary.org/obo/BFO_0000023","hierarchicalParent","duo+class+http://purl.obolibrary.org/obo/BFO_0000017","{}","","","","","",""
