":START_ID",":TYPE",":END_ID","_json"
"punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","http://www.w3.org/2000/01/rdf-schema#subClassOf","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","http://www.w3.org/2000/01/rdf-schema#subClassOf","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","hierarchicalParent","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","hierarchicalParent","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","http://www.ebi.ac.uk/testcases/punning/class-individual.owl#commonlyHasUnit","punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#terakelvin","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","http://www.ebi.ac.uk/testcases/punning/class-individual.owl#commonlyHasUnit","punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#terakelvin","{}"
"punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","directParent","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","directParent","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+property+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#commonlyHasUnit","http://www.w3.org/2000/01/rdf-schema#domain","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","http://www.w3.org/2000/01/rdf-schema#subClassOf","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","http://www.w3.org/2000/01/rdf-schema#subClassOf","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","hierarchicalParent","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","hierarchicalParent","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","http://www.ebi.ac.uk/testcases/punning/class-individual.owl#commonlyHasUnit","punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#terakelvin","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","http://www.ebi.ac.uk/testcases/punning/class-individual.owl#commonlyHasUnit","punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#terakelvin","{}"
"punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","directParent","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","directParent","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#Quantity","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#thermodynamicTemperatureOfTheTriplePointOfWater","directParent","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#thermodynamicTemperatureOfTheTriplePointOfWater","directParent","punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#thermodynamicTemperatureOfTheTriplePointOfWater","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","punning-class-individual+class+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","{}"
"punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#thermodynamicTemperatureOfTheTriplePointOfWater","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","punning-class-individual+individual+http://www.ebi.ac.uk/testcases/punning/class-individual.owl#ThermodynamicTemperature","{}"
